Date,ob,oe
4/2/2019,4156.919434,141.839523
4/3/2019,4879.958008,164.008636
4/4/2019,4971.307617,161.431763
4/5/2019,4922.806152,158.020004
4/6/2019,5036.792969,165.511246
4/7/2019,5062.793945,165.977249
4/8/2019,5199.835449,174.449677
4/9/2019,5289.917969,180.222122
4/10/2019,5204.105469,176.067841
4/11/2019,5325.081543,177.342758
4/12/2019,5061.200684,165.335205
4/13/2019,5088.850098,164.622849
4/14/2019,5095.758789,164.476089
4/15/2019,5167.321777,167.897476
4/16/2019,5066.577637,161.52655
4/17/2019,5236.135254,167.553696
4/18/2019,5251.480469,166.913208
4/19/2019,5298.154297,173.787888
4/20/2019,5304.160645,173.718811
4/21/2019,5335.878906,173.715408
4/22/2019,5312.494629,170.017487
4/23/2019,5399.365723,172.007217
4/24/2019,5571.508301,171.349533
4/25/2019,5466.524414,165.914734
4/26/2019,5210.304688,154.579437
4/27/2019,5279.471191,156.270859
4/28/2019,5271.746582,158.499771
4/29/2019,5284.858398,157.291061
4/30/2019,5247.726074,155.172775
5/1/2019,5350.914551,162.186554
5/2/2019,5402.422852,160.853577
5/3/2019,5505.552246,162.075165
5/4/2019,5769.202637,167.887222
5/5/2019,5831.068359,164.015259
5/6/2019,5791.693359,163.337982
5/7/2019,5745.599121,172.427277
5/8/2019,5849.481445,169.904205
5/9/2019,5982.316406,170.951874
5/10/2019,6175.822754,170.312973
5/11/2019,6379.666992,173.139313
5/12/2019,7203.507324,194.163025
5/13/2019,6971.178223,187.417923
5/14/2019,7807.884277,196.738281
5/15/2019,7989.374512,217.010117
5/16/2019,8194.500977,246.941956
5/17/2019,7886.925781,263.848358
5/18/2019,7341.664551,243.911301
5/19/2019,7267.962891,234.449463
5/20/2019,8196.923828,261.267487
5/21/2019,7977.969238,251.647842
5/22/2019,7956.291992,254.995316
5/23/2019,7677.269043,244.665115
5/24/2019,7881.695313,245.987091
5/25/2019,7991.885254,249.694046
5/26/2019,8055.206055,251.724792
5/27/2019,8674.072266,267.141876
5/28/2019,8802.757813,272.590485
5/29/2019,8718.591797,271.779053
5/30/2019,8661.760742,269.55188
5/31/2019,8320.286133,256.015259
6/1/2019,8573.839844,268.43335
6/2/2019,8565.473633,265.512726
6/3/2019,8741.74707,270.088562
6/4/2019,8210.985352,252.511642
6/5/2019,7704.343262,241.49704
6/6/2019,7819.633301,246.925247
6/7/2019,7826.901367,249.335281
6/8/2019,8036.774902,251.249313
6/9/2019,7949.674805,245.540482
6/10/2019,7692.284668,232.830139
6/11/2019,8004.243652,247.862122
6/12/2019,7925.434082,245.925491
6/13/2019,8145.54541,260.913513
6/14/2019,8230.898438,256.179657
6/15/2019,8689.746094,263.934143
6/16/2019,8841.44043,268.901154
6/17/2019,8988.923828,269.090576
6/18/2019,9335.466797,274.320251
6/19/2019,9078.727539,265.056854
6/20/2019,9273.060547,269.407867
6/21/2019,9525.074219,271.743103
6/22/2019,10175.92383,295.115082
6/23/2019,10696.69141,309.416687
6/24/2019,10853.74414,307.722137
6/25/2019,11007.20215,310.678619
6/26/2019,11778.58106,317.992584
6/27/2019,13017.125,336.9599
6/28/2019,11162.16797,294.143036
6/29/2019,12400.76367,311.284424
6/30/2019,11931.99121,319.584045
7/1/2019,10796.93066,290.268494
7/2/2019,10588.68359,293.537262
7/3/2019,10818.15625,291.764618
7/4/2019,11972.71875,303.025085
7/5/2019,11203.10254,284.38092
7/6/2019,10982.54395,287.893829
7/7/2019,11217.61621,287.603607
